#X,Acoustic Pressure across Frequency_At Node 155,Acoustic Pressure across Frequency_At Node 155
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
1900.000000,0.000402,-189.933145
1910.000000,0.000400,-189.801303
1920.000000,0.000399,-189.644126
1930.000000,0.000398,-189.467138
1940.000000,0.000398,-189.276272
1950.000000,0.000397,-189.077701
1960.000000,0.000397,-188.877649
1970.000000,0.000398,-188.682220
1980.000000,0.000398,-188.497216
1990.000000,0.000399,-188.327983
2000.000000,0.000399,-188.179262


