#X,Acoustic Pressure across Frequency_At Node 586,Acoustic Pressure across Frequency_At Node 586
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
1900.000000,0.000716,-269.855845
1910.000000,0.000676,-269.845769
1920.000000,0.000639,-269.834541
1930.000000,0.000604,-269.821544
1940.000000,0.000572,-269.802147
1950.000000,0.000537,-269.784929
1960.000000,0.000517,-269.780796
1970.000000,0.000490,-269.760780
1980.000000,0.000466,-269.738901
1990.000000,0.000443,-269.714320
2000.000000,0.000421,-269.686444


