#X,Acoustic Pressure across Frequency(1)_At Node 2413,Acoustic Pressure across Frequency(1)_At Node 2413
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
1900.000000,0.001521,-269.938867
1910.000000,0.001382,-269.939236
1920.000000,0.001267,-269.938789
1930.000000,0.001170,-269.937596
1940.000000,0.001087,-269.935687
1950.000000,0.001016,-269.933054
1960.000000,0.000953,-269.929656
1970.000000,0.000898,-269.925421
1980.000000,0.000849,-269.920246
1990.000000,0.000804,-269.913991
2000.000000,0.000764,-269.906473


