#X,Acoustic Pressure across Frequency(3)_At Node 3334,Acoustic Pressure across Frequency(3)_At Node 3334
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
1610.000000,-77.371751,9.349970E-04
1620.000000,-168.907014,1.437090E-04
1630.000000,-175.558005,5.842508E-05
1640.000000,-178.582224,2.969854E-05
1650.000000,-180.319202,1.506623E-05
1660.000000,-179.906074,5.997327E-06
1670.000000,-57.889657,5.985491E-07
1680.000000,-13.627871,5.244212E-06
1690.000000,-13.395804,9.192533E-06
1700.000000,-14.491167,1.253827E-05
1710.000000,-15.987269,1.559336E-05
1720.000000,-17.623679,1.846631E-05
1730.000000,-19.269135,2.111129E-05
1740.000000,-21.019850,2.387623E-05
1750.000000,-22.730387,2.650552E-05
1760.000000,-24.533189,2.944132E-05
1770.000000,-26.280792,3.229941E-05
1780.000000,-28.048727,3.535509E-05
1790.000000,-29.910704,3.898298E-05
1800.000000,-31.707332,4.261661E-05
1810.000000,-33.535603,4.670651E-05
1820.000000,-35.371976,5.124378E-05
1830.000000,-37.239301,5.642820E-05
1840.000000,-39.142676,6.242950E-05
1850.000000,-41.076742,6.940879E-05
1860.000000,-43.050581,7.762159E-05
1870.000000,-45.083015,8.755825E-05
1880.000000,-47.192592,9.951105E-05
1890.000000,-49.393458,1.147295E-04
1900.000000,-51.716025,1.340994E-04
1910.000000,-54.219730,1.596301E-04
1920.000000,-56.801490,1.918410E-04
1930.000000,-60.009352,2.420587E-04
1940.000000,-64.044040,3.216769E-04
1950.000000,-69.344260,4.524974E-04
1960.000000,-79.696464,7.533546E-04
1970.000000,-108.954994,1.593513E-03
1980.000000,-192.591283,1.639134E-03
1990.000000,-221.940800,8.243560E-04
2000.000000,-232.130893,5.322211E-04


