#X,Acoustic Pressure across Frequency(4)_At Node 923,Acoustic Pressure across Frequency(4)_At Node 923
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-237.107881,0.000234
30.000000,-248.037191,0.000172
40.000000,-254.719352,0.000135
50.000000,-259.321395,0.000111
60.000000,-262.780816,0.000094
70.000000,-265.552575,0.000081
80.000000,-267.880649,0.000072
90.000000,-269.906644,0.000064
100.000000,-271.718035,0.000059
110.000000,-273.371627,0.000054
120.000000,-274.905850,0.000050
130.000000,-276.347602,0.000047
140.000000,-277.716272,0.000044
150.000000,-279.026196,0.000041
160.000000,-280.288213,0.000039
170.000000,-281.510686,0.000038
180.000000,-282.700185,0.000036
190.000000,-283.861963,0.000035
200.000000,-285.000284,0.000034
210.000000,-286.118656,0.000033
220.000000,-287.220012,0.000032
230.000000,-288.306828,0.000031
240.000000,-289.381230,0.000030
250.000000,-290.445054,0.000030
260.000000,-291.499909,0.000030
270.000000,-292.547215,0.000029
280.000000,-293.588248,0.000029
290.000000,-294.624145,0.000029
300.000000,-295.655950,0.000029
310.000000,-296.684614,0.000028
320.000000,-297.711014,0.000028
330.000000,-298.735967,0.000029
340.000000,-299.760233,0.000029
350.000000,-300.784530,0.000029
360.000000,-301.809539,0.000029
370.000000,-302.835902,0.000029
380.000000,-303.864248,0.000030
390.000000,-304.895174,0.000030
400.000000,-305.929262,0.000031
410.000000,-306.967088,0.000032
420.000000,-308.009229,0.000032
430.000000,-309.056251,0.000033
440.000000,-310.108738,0.000034
450.000000,-311.167294,0.000035
460.000000,-312.232540,0.000036
470.000000,-313.305153,0.000038
480.000000,-314.385850,0.000039
490.000000,-315.475424,0.000041
500.000000,-316.574760,0.000042
510.000000,-317.684862,0.000044
520.000000,-318.806895,0.000047
530.000000,-319.942206,0.000049
540.000000,-321.092414,0.000052
550.000000,-322.259457,0.000056
560.000000,-323.445701,0.000059
570.000000,-324.654068,0.000064
580.000000,-325.888232,0.000069
590.000000,-327.152843,0.000075
600.000000,-328.453927,0.000081
610.000000,-329.799376,0.000089
620.000000,-331.199777,0.000099
630.000000,-332.669602,0.000111
640.000000,-334.229187,0.000125
650.000000,-335.907979,0.000143
660.000000,-337.750236,0.000165
670.000000,-339.825594,0.000195
680.000000,-342.250044,0.000235
690.000000,-345.231642,0.000293
700.000000,-349.182062,0.000380
710.000000,-355.033849,0.000525
720.000000,-5.340702,0.000796
730.000000,-28.768018,0.001362
740.000000,-81.514833,0.001811
750.000000,-121.810221,0.001219
760.000000,-137.896908,0.000829
770.000000,-145.871695,0.000636
780.000000,-150.834899,0.000529
790.000000,-154.420537,0.000465
800.000000,-157.284670,0.000426
810.000000,-159.742343,0.000403
820.000000,-161.969498,0.000392
830.000000,-164.081143,0.000392
840.000000,-166.168809,0.000402
850.000000,-168.325586,0.000424
860.000000,-170.674137,0.000463
870.000000,-173.418042,0.000527
880.000000,-176.972499,0.000636
890.000000,-182.400629,0.000840
900.000000,-193.489770,0.001312
910.000000,-232.391169,0.002662
920.000000,-310.403504,0.001877
930.000000,-333.006164,0.000909
940.000000,-341.023818,0.000566
950.000000,-345.396687,0.000400
960.000000,-348.368631,0.000305
970.000000,-350.658476,0.000243
980.000000,-352.564657,0.000200
990.000000,-354.233112,0.000169
1000.000000,-355.743736,0.000146
1010.000000,-357.144059,0.000127
1020.000000,-358.464227,0.000113
1030.000000,-359.724360,0.000101
1040.000000,-0.938460,0.000091
1050.000000,-2.116622,0.000083
1060.000000,-3.266339,0.000076
1070.000000,-4.393328,0.000070
