#X,Acoustic Pressure across Frequency(5)_At Node 815
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,1.594084E-04
30.000000,1.114308E-04
40.000000,8.535713E-05
50.000000,6.924370E-05
60.000000,5.839328E-05
70.000000,5.064023E-05
80.000000,4.485870E-05
90.000000,4.040863E-05
100.000000,3.690040E-05
110.000000,3.408386E-05
120.000000,3.179139E-05
130.000000,2.990681E-05
140.000000,2.834723E-05
150.000000,2.705224E-05
160.000000,2.597700E-05
170.000000,2.508776E-05
180.000000,2.435894E-05
190.000000,2.377111E-05
200.000000,2.330955E-05
210.000000,2.296334E-05
220.000000,2.272466E-05
230.000000,2.258835E-05
240.000000,2.255163E-05
250.000000,2.261392E-05
260.000000,2.277689E-05
270.000000,2.304450E-05
280.000000,2.342326E-05
290.000000,2.392261E-05
300.000000,2.455555E-05
310.000000,2.533950E-05
320.000000,2.629759E-05
330.000000,2.746055E-05
340.000000,2.886946E-05
350.000000,3.057996E-05
360.000000,3.266880E-05
370.000000,3.524436E-05
380.000000,3.846420E-05
390.000000,4.256608E-05
400.000000,4.792573E-05
410.000000,5.517337E-05
420.000000,6.545233E-05
430.000000,8.107403E-05
440.000000,1.075206E-04
450.000000,1.617185E-04
460.000000,3.344473E-04
470.000000,3.225183E-03
480.000000,2.759806E-04
490.000000,1.421647E-04
500.000000,9.503771E-05
510.000000,7.093602E-05
520.000000,5.625172E-05
530.000000,4.631412E-05
540.000000,3.908189E-05
550.000000,3.351469E-05
560.000000,2.901915E-05
570.000000,2.522282E-05
580.000000,2.186842E-05
590.000000,1.875718E-05
600.000000,1.571275E-05
610.000000,1.255134E-05
620.000000,9.047033E-06
630.000000,4.877437E-06
640.000000,4.813390E-07
650.000000,7.993521E-06
660.000000,1.970617E-05
670.000000,4.092298E-05
680.000000,9.099507E-05
690.000000,3.400774E-04
700.000000,4.414667E-04
710.000000,1.747212E-04
720.000000,1.250880E-04
730.000000,1.065558E-04
740.000000,9.923381E-05
750.000000,9.817555E-05
760.000000,1.022020E-04
770.000000,1.120678E-04
780.000000,1.309019E-04
790.000000,1.673325E-04
800.000000,2.469344E-04
810.000000,3.967118E-04
820.000000,2.746328E-04
830.000000,1.451583E-04
840.000000,8.993208E-05
850.000000,6.153948E-05
860.000000,4.449847E-05
870.000000,3.312356E-05
880.000000,2.490341E-05
890.000000,1.855850E-05
900.000000,1.335508E-05
910.000000,8.820096E-06
920.000000,4.601932E-06
930.000000,3.849349E-07
940.000000,4.188147E-06
950.000000,9.630386E-06
960.000000,1.685752E-05
970.000000,2.789384E-05
980.000000,4.862527E-05
990.000000,1.073313E-04
1000.000000,2.678958E-03
1010.000000,1.398301E-04
1020.000000,7.312069E-05
1030.000000,5.126507E-05
1040.000000,4.032478E-05
1050.000000,3.371365E-05
1060.000000,2.926856E-05
1070.000000,2.606843E-05
1080.000000,2.365387E-05
1090.000000,2.176962E-05
1100.000000,2.026229E-05
1110.000000,1.903397E-05
1120.000000,1.801918E-05
1130.000000,1.717244E-05
1140.000000,1.646115E-05
1150.000000,1.586140E-05
1160.000000,1.535523E-05
1170.000000,1.492898E-05
1180.000000,1.457211E-05
1190.000000,1.427640E-05
1200.000000,1.403545E-05
1210.000000,1.384423E-05
1220.000000,1.369886E-05
1230.000000,1.359634E-05
1240.000000,1.353448E-05
1250.000000,1.351174E-05
1260.000000,1.352716E-05
1270.000000,1.358038E-05
1280.000000,1.367160E-05
1290.000000,1.380187E-05
1300.000000,1.397514E-05
1310.000000,1.401593E-05
1320.000000,1.441860E-05
1330.000000,1.471881E-05
1340.000000,1.506576E-05
1350.000000,1.546490E-05
1360.000000,1.592140E-05
1370.000000,1.644124E-05
1380.000000,1.703149E-05
1390.000000,1.770060E-05
1400.000000,1.845875E-05
1410.000000,1.931821E-05
1420.000000,2.029386E-05
1430.000000,2.140392E-05
1440.000000,2.267078E-05
1450.000000,2.412225E-05
1460.000000,2.579323E-05
1470.000000,2.772802E-05
1480.000000,2.998358E-05
1490.000000,3.263434E-05
1500.000000,3.577918E-05
1510.000000,3.955222E-05
1520.000000,4.413973E-05
1530.000000,4.980766E-05
1540.000000,5.694867E-05
1550.000000,6.616642E-05
1560.000000,7.843671E-05
1570.000000,9.544052E-05
1580.000000,1.203244E-04
1590.000000,1.596761E-04
1600.000000,2.296016E-04
1610.000000,3.781397E-04
1620.000000,7.171399E-04
1630.000000,6.361187E-04
1640.000000,3.714299E-04
1650.000000,2.581944E-04
1660.000000,2.019237E-04
1670.000000,1.697132E-04
1680.000000,1.497530E-04
1690.000000,1.369850E-04
1700.000000,1.281647E-04
1710.000000,1.245645E-04
1720.000000,1.230352E-04
1730.000000,1.243104E-04
1740.000000,1.286297E-04
1750.000000,1.367349E-04
1760.000000,1.502054E-04
1770.000000,1.723618E-04
1780.000000,2.109578E-04
1790.000000,2.884950E-04
1800.000000,5.072008E-04
1810.000000,3.769995E-03
1820.000000,5.748095E-04
1830.000000,2.513467E-04
1840.000000,1.536442E-04
1850.000000,1.068298E-04
1860.000000,7.950424E-05
1870.000000,6.165655E-05
1880.000000,4.910562E-05
1890.000000,3.979718E-05
1900.000000,3.260816E-05
1910.000000,2.683330E-05
1920.000000,2.210010E-05
1930.000000,1.809870E-05
1940.000000,1.462830E-05
1950.000000,1.153217E-05
1960.000000,1.870024E-05
1970.000000,6.443615E-06
1980.000000,3.920930E-06
1990.000000,1.545674E-06
2000.000000,7.909203E-07


