#X,Acoustic Pressure across Frequency(1)_At Node 631
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,0.000159
30.000000,0.000109
40.000000,0.000081
50.000000,0.000062
60.000000,0.000049
70.000000,0.000040
80.000000,0.000032
90.000000,0.000026
100.000000,0.000020
110.000000,0.000016
120.000000,0.000011
130.000000,0.000008
140.000000,0.000004
150.000000,0.000002
160.000000,0.000003
170.000000,0.000005
180.000000,0.000008
190.000000,0.000011
200.000000,0.000013
210.000000,0.000016
220.000000,0.000018
230.000000,0.000020
240.000000,0.000023
250.000000,0.000025
260.000000,0.000027
270.000000,0.000029
280.000000,0.000032
290.000000,0.000034
300.000000,0.000036
310.000000,0.000038
320.000000,0.000041
330.000000,0.000043
340.000000,0.000045
350.000000,0.000047
360.000000,0.000050
370.000000,0.000052
380.000000,0.000054
390.000000,0.000056
400.000000,0.000059
410.000000,0.000061
420.000000,0.000064
430.000000,0.000066
440.000000,0.000069
450.000000,0.000071
460.000000,0.000074
470.000000,0.000076
480.000000,0.000079
490.000000,0.000082
500.000000,0.000085
510.000000,0.000088
520.000000,0.000091
530.000000,0.000094
540.000000,0.000097
550.000000,0.000100
560.000000,0.000104
570.000000,0.000107
580.000000,0.000111
590.000000,0.000115
600.000000,0.000119
610.000000,0.000124
620.000000,0.000128
630.000000,0.000133
640.000000,0.000138
650.000000,0.000144
660.000000,0.000150
670.000000,0.000157
680.000000,0.000164
690.000000,0.000172
700.000000,0.000182
710.000000,0.000193
720.000000,0.000206
730.000000,0.000222
740.000000,0.000243
750.000000,0.000271
760.000000,0.000312
770.000000,0.000379
780.000000,0.000505
790.000000,0.000742
800.000000,0.000602
810.000000,0.000260
820.000000,0.000113
830.000000,0.000048
840.000000,0.000039
850.000000,0.000059
860.000000,0.000078
870.000000,0.000095
880.000000,0.000110
890.000000,0.000123
900.000000,0.000135
910.000000,0.000146
920.000000,0.000156
930.000000,0.000166
940.000000,0.000175
950.000000,0.000185
960.000000,0.000194
970.000000,0.000203
980.000000,0.000213
990.000000,0.000222
1000.000000,0.000232
1010.000000,0.000242
1020.000000,0.000252
1030.000000,0.000263
1040.000000,0.000274
1050.000000,0.000285
1060.000000,0.000297
1070.000000,0.000309
1080.000000,0.000322
1090.000000,0.000335
1100.000000,0.000349
1110.000000,0.000364
1120.000000,0.000379
1130.000000,0.000396
1140.000000,0.000414
1150.000000,0.000432
1160.000000,0.000452
1170.000000,0.000474
1180.000000,0.000497
1190.000000,0.000521
1200.000000,0.000548
1210.000000,0.000577
1220.000000,0.000609
1230.000000,0.000643
1240.000000,0.000681
1250.000000,0.000723
1260.000000,0.000769
1270.000000,0.000821
1280.000000,0.000880
1290.000000,0.000946
1300.000000,0.001021
1310.000000,0.001108
1320.000000,0.001209
1330.000000,0.001329
1340.000000,0.001473
1350.000000,0.001650
1360.000000,0.001871
1370.000000,0.002156
1380.000000,0.002538
1390.000000,0.003077
1400.000000,0.003895
1410.000000,0.005284
1420.000000,0.008165
1430.000000,0.017636
1440.000000,0.065814
1450.000000,0.013062
1460.000000,0.007077
1470.000000,0.004853
1480.000000,0.003692
1490.000000,0.002979
1500.000000,0.002495
1510.000000,0.002144
1520.000000,0.001876
1530.000000,0.001665
1540.000000,0.001492
1550.000000,0.001348
1560.000000,0.001223
1570.000000,0.001113
1580.000000,0.001014
1590.000000,0.000921
1600.000000,0.000832
1610.000000,0.000741
1620.000000,0.000645
1630.000000,0.000538
1640.000000,0.000414
1650.000000,0.000333
1660.000000,0.000683
1670.000000,0.002103
1680.000000,0.002469
1690.000000,0.001723
1700.000000,0.001366
1710.000000,0.001183
1720.000000,0.001062
1730.000000,0.000976
1740.000000,0.000912
1750.000000,0.000861
1760.000000,0.000819
1770.000000,0.000783
1780.000000,0.000753
1790.000000,0.000726
1800.000000,0.000702
1810.000000,0.000681
1820.000000,0.000661
1830.000000,0.000644
1840.000000,0.000628
1850.000000,0.000613
1860.000000,0.000599
1870.000000,0.000586
1880.000000,0.000574
1890.000000,0.000563
1900.000000,0.000553
1910.000000,0.000544
1920.000000,0.000534
1930.000000,0.000525
1940.000000,0.000517
1950.000000,0.000509
1960.000000,0.000504
1970.000000,0.000495
1980.000000,0.000489
1990.000000,0.000483
2000.000000,0.000477


