#X,Acoustic Pressure across Frequency(4)_At Node 814
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,1.594106E-04
30.000000,1.114341E-04
40.000000,8.536127E-05
50.000000,6.924849E-05
60.000000,5.839851E-05
70.000000,5.064576E-05
80.000000,4.486441E-05
90.000000,4.041442E-05
100.000000,3.690620E-05
110.000000,3.408960E-05
120.000000,3.179704E-05
130.000000,2.991231E-05
140.000000,2.835256E-05
150.000000,2.705737E-05
160.000000,2.598188E-05
170.000000,2.509237E-05
180.000000,2.436325E-05
190.000000,2.377506E-05
200.000000,2.331311E-05
210.000000,2.296646E-05
220.000000,2.272728E-05
230.000000,2.259041E-05
240.000000,2.255305E-05
250.000000,2.261463E-05
260.000000,2.277679E-05
270.000000,2.304346E-05
280.000000,2.342116E-05
290.000000,2.391929E-05
300.000000,2.455083E-05
310.000000,2.533315E-05
320.000000,2.628936E-05
330.000000,2.745010E-05
340.000000,2.885637E-05
350.000000,3.056373E-05
360.000000,3.264878E-05
370.000000,3.521968E-05
380.000000,3.843371E-05
390.000000,4.252819E-05
400.000000,4.787817E-05
410.000000,5.511268E-05
420.000000,6.537297E-05
430.000000,8.096622E-05
440.000000,1.073645E-04
450.000000,1.614630E-04
460.000000,3.338748E-04
470.000000,3.219221E-03
480.000000,2.754312E-04
490.000000,1.418610E-04
500.000000,9.482031E-05
510.000000,7.076274E-05
520.000000,5.610534E-05
530.000000,4.618603E-05
540.000000,3.896724E-05
550.000000,3.341063E-05
560.000000,2.892396E-05
570.000000,2.513557E-05
580.000000,2.178879E-05
590.000000,1.868540E-05
600.000000,1.564965E-05
610.000000,1.249854E-05
620.000000,9.007217E-06
630.000000,4.855011E-06
640.000000,4.790366E-07
650.000000,7.953590E-06
660.000000,1.960373E-05
670.000000,4.070189E-05
680.000000,9.048473E-05
690.000000,3.380997E-04
700.000000,4.388076E-04
710.000000,1.736324E-04
720.000000,1.242824E-04
730.000000,1.058471E-04
740.000000,9.855308E-05
750.000000,9.748152E-05
760.000000,1.014581E-04
770.000000,1.112287E-04
780.000000,1.298946E-04
790.000000,1.660102E-04
800.000000,2.449322E-04
810.000000,3.934139E-04
820.000000,2.722939E-04
830.000000,1.438928E-04
840.000000,8.913004E-05
850.000000,6.097846E-05
860.000000,4.408407E-05
870.000000,3.280867E-05
880.000000,2.466189E-05
890.000000,1.837499E-05
900.000000,1.322053E-05
910.000000,8.729606E-06
920.000000,4.553881E-06
930.000000,3.808463E-07
940.000000,4.142927E-06
950.000000,9.524730E-06
960.000000,1.666970E-05
970.000000,2.757836E-05
980.000000,4.806731E-05
990.000000,1.060825E-04
1000.000000,2.647377E-03
1010.000000,1.381668E-04
1020.000000,7.223073E-05
1030.000000,5.063466E-05
1040.000000,3.982302E-05
1050.000000,3.328917E-05
1060.000000,2.889574E-05
1070.000000,2.573256E-05
1080.000000,2.334567E-05
1090.000000,2.148284E-05
1100.000000,1.999246E-05
1110.000000,1.877778E-05
1120.000000,1.777409E-05
1130.000000,1.693643E-05
1140.000000,1.623258E-05
1150.000000,1.563890E-05
1160.000000,1.513764E-05
1170.000000,1.471528E-05
1180.000000,1.436141E-05
1190.000000,1.406789E-05
1200.000000,1.382837E-05
1210.000000,1.363790E-05
1220.000000,1.349259E-05
1230.000000,1.338949E-05
1240.000000,1.332641E-05
1250.000000,1.330181E-05
1260.000000,1.331471E-05
1270.000000,1.336472E-05
1280.000000,1.345200E-05
1290.000000,1.357747E-05
1300.000000,1.374455E-05
1310.000000,1.376661E-05
1320.000000,1.417840E-05
1330.000000,1.446986E-05
1340.000000,1.480755E-05
1350.000000,1.519640E-05
1360.000000,1.564139E-05
1370.000000,1.614828E-05
1380.000000,1.672396E-05
1390.000000,1.737665E-05
1400.000000,1.811626E-05
1410.000000,1.895473E-05
1420.000000,1.990657E-05
1430.000000,2.098949E-05
1440.000000,2.222531E-05
1450.000000,2.364112E-05
1460.000000,2.527090E-05
1470.000000,2.715777E-05
1480.000000,2.935721E-05
1490.000000,3.194167E-05
1500.000000,3.500743E-05
1510.000000,3.868505E-05
1520.000000,4.315587E-05
1530.000000,4.867877E-05
1540.000000,5.563596E-05
1550.000000,6.461502E-05
1560.000000,7.656572E-05
1570.000000,9.312414E-05
1580.000000,1.173526E-04
1590.000000,1.556625E-04
1600.000000,2.237275E-04
1610.000000,3.682920E-04
1620.000000,6.981277E-04
1630.000000,6.189499E-04
1640.000000,3.612235E-04
1650.000000,2.509708E-04
1660.000000,1.961718E-04
1670.000000,1.647910E-04
1680.000000,1.453307E-04
1690.000000,1.328664E-04
1700.000000,1.242575E-04
1710.000000,1.206819E-04
1720.000000,1.191312E-04
1730.000000,1.202949E-04
1740.000000,1.244002E-04
1750.000000,1.321588E-04
1760.000000,1.450892E-04
1770.000000,1.663873E-04
1780.000000,2.035173E-04
1790.000000,2.781425E-04
1800.000000,4.886853E-04
1810.000000,3.630009E-03
1820.000000,5.531028E-04
1830.000000,2.416949E-04
1840.000000,1.476457E-04
1850.000000,1.025900E-04
1860.000000,7.629727E-05
1870.000000,5.912929E-05
1880.000000,4.706070E-05
1890.000000,3.811394E-05
1900.000000,3.120855E-05
1910.000000,2.565755E-05
1920.000000,2.111974E-05
1930.000000,1.728389E-05
1940.000000,1.395984E-05
1950.000000,1.099717E-05
1960.000000,1.785776E-05
1970.000000,6.137138E-06
1980.000000,3.731491E-06
1990.000000,1.469872E-06
2000.000000,7.521100E-07


