#X,Acoustic Pressure across Frequency(2)_At Node 719
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,0.000117
30.000000,0.000077
40.000000,0.000056
50.000000,0.000042
60.000000,0.000032
70.000000,0.000025
80.000000,0.000019
90.000000,0.000014
100.000000,0.000009
110.000000,0.000005
120.000000,0.000002
130.000000,0.000002
140.000000,0.000005
150.000000,0.000007
160.000000,0.000010
170.000000,0.000013
180.000000,0.000015
190.000000,0.000018
200.000000,0.000020
210.000000,0.000023
220.000000,0.000025
230.000000,0.000027
240.000000,0.000030
250.000000,0.000032
260.000000,0.000034
270.000000,0.000036
280.000000,0.000039
290.000000,0.000041
300.000000,0.000043
310.000000,0.000046
320.000000,0.000048
330.000000,0.000051
340.000000,0.000053
350.000000,0.000056
360.000000,0.000059
370.000000,0.000061
380.000000,0.000064
390.000000,0.000067
400.000000,0.000071
410.000000,0.000074
420.000000,0.000077
430.000000,0.000081
440.000000,0.000085
450.000000,0.000089
460.000000,0.000094
470.000000,0.000100
480.000000,0.000106
490.000000,0.000113
500.000000,0.000122
510.000000,0.000134
520.000000,0.000149
530.000000,0.000171
540.000000,0.000208
550.000000,0.000283
560.000000,0.000482
570.000000,0.000383
580.000000,0.000129
590.000000,0.000046
600.000000,0.000017
610.000000,0.000028
620.000000,0.000042
630.000000,0.000054
640.000000,0.000063
650.000000,0.000071
660.000000,0.000078
670.000000,0.000085
680.000000,0.000091
690.000000,0.000096
700.000000,0.000101
710.000000,0.000107
720.000000,0.000112
730.000000,0.000116
740.000000,0.000121
750.000000,0.000126
760.000000,0.000131
770.000000,0.000136
780.000000,0.000141
790.000000,0.000146
800.000000,0.000151
810.000000,0.000156
820.000000,0.000162
830.000000,0.000167
840.000000,0.000173
850.000000,0.000179
860.000000,0.000185
870.000000,0.000191
880.000000,0.000198
890.000000,0.000204
900.000000,0.000211
910.000000,0.000219
920.000000,0.000226
930.000000,0.000235
940.000000,0.000243
950.000000,0.000252
960.000000,0.000262
970.000000,0.000272
980.000000,0.000283
990.000000,0.000295
1000.000000,0.000308
1010.000000,0.000322
1020.000000,0.000337
1030.000000,0.000355
1040.000000,0.000375
1050.000000,0.000398
1060.000000,0.000424
1070.000000,0.000457
1080.000000,0.000499
1090.000000,0.000554
1100.000000,0.000635
1110.000000,0.000767
1120.000000,0.001029
1130.000000,0.001714
1140.000000,0.001427
1150.000000,0.000448
1160.000000,0.000143
1170.000000,0.000097
1180.000000,0.000163
1190.000000,0.000223
1200.000000,0.000274
1210.000000,0.000318
1220.000000,0.000358
1230.000000,0.000397
1240.000000,0.000434
1250.000000,0.000472
1260.000000,0.000510
1270.000000,0.000550
1280.000000,0.000593
1290.000000,0.000638
1300.000000,0.000687
1310.000000,0.000740
1320.000000,0.000799
1330.000000,0.000864
1340.000000,0.000938
1350.000000,0.001022
1360.000000,0.001118
1370.000000,0.001231
1380.000000,0.001364
1390.000000,0.001524
1400.000000,0.001720
1410.000000,0.001968
1420.000000,0.002290
1430.000000,0.002727
1440.000000,0.003353
1450.000000,0.004326
1460.000000,0.006048
1470.000000,0.009924
1480.000000,0.026681
1490.000000,0.038723
1500.000000,0.011506
1510.000000,0.006786
1520.000000,0.004832
1530.000000,0.003763
1540.000000,0.003088
1550.000000,0.002624
1560.000000,0.002284
1570.000000,0.002024
1580.000000,0.001819
1590.000000,0.001653
1600.000000,0.001516
1610.000000,0.001400
1620.000000,0.001300
1630.000000,0.001214
1640.000000,0.001137
1650.000000,0.001069
1660.000000,0.001008
1670.000000,0.000952
1680.000000,0.000899
1690.000000,0.000849
1700.000000,0.000800
1710.000000,0.000752
1720.000000,0.000700
1730.000000,0.000640
1740.000000,0.000566
1750.000000,0.000461
1760.000000,0.000370
1770.000000,0.001316
1780.000000,0.001337
1790.000000,0.001035
1800.000000,0.000902
1810.000000,0.000821
1820.000000,0.000778
1830.000000,0.000739
1840.000000,0.000708
1850.000000,0.000683
1860.000000,0.000661
1870.000000,0.000642
1880.000000,0.000625
1890.000000,0.000610
1900.000000,0.000596
1910.000000,0.000583
1920.000000,0.000572
1930.000000,0.000561
1940.000000,0.000550
1950.000000,0.000541
1960.000000,0.000532
1970.000000,0.000524
1980.000000,0.000516
1990.000000,0.000508
2000.000000,0.000501


