#X,Acoustic Pressure across Frequency(6)_At Node 722,Acoustic Pressure across Frequency(6)_At Node 722
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
1900.000000,-264.735673,0.000013
1910.000000,-265.932216,0.000012
1920.000000,-267.137850,0.000012
1930.000000,-268.355072,0.000011
1940.000000,-269.575872,0.000010
1950.000000,-270.820663,0.000009
1960.000000,-272.091901,0.000009
1970.000000,-273.175851,0.000008
1980.000000,-274.608267,0.000007
1990.000000,-275.935740,0.000006
2000.000000,-277.283702,0.000005


