#X,Acoustic Pressure across Frequency_At Node 589,Acoustic Pressure across Frequency_At Node 589
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
1900.000000,0.000196,-90.214398
1910.000000,0.000216,-90.224727
1920.000000,0.000238,-90.237080
1930.000000,0.000261,-90.252495
1940.000000,0.000287,-90.277387
1950.000000,0.000312,-90.300980
1960.000000,0.000340,-90.304889
1970.000000,0.000370,-90.332970
1980.000000,0.000403,-90.364776
1990.000000,0.000439,-90.401842
2000.000000,0.000479,-90.445505


