#X,Acoustic Pressure across Frequency(3)_At Node 2415,Acoustic Pressure across Frequency(3)_At Node 2415
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
1610.000000,1.566133E-05,-144.190017
1620.000000,7.042041E-05,-148.571941
1630.000000,8.174514E-06,-326.007098
1640.000000,2.836725E-07,-147.976481
1650.000000,3.122770E-06,-149.652598
1660.000000,4.828188E-06,-151.268190
1670.000000,6.176267E-06,-152.862682
1680.000000,7.428110E-06,-154.448402
1690.000000,8.714193E-06,-156.030534
1700.000000,1.012994E-05,-157.610128
1710.000000,1.176092E-05,-159.191947
1720.000000,1.371895E-05,-160.774266
1730.000000,1.615504E-05,-162.358443
1740.000000,1.930146E-05,-163.945218
1750.000000,2.354575E-05,-165.535452
1760.000000,2.959670E-05,-167.130476
1770.000000,3.891400E-05,-168.732795
1780.000000,5.507158E-05,-170.348294
1790.000000,8.977377E-05,-171.995896
1800.000000,2.165087E-04,-173.793603
1810.000000,7.042704E-04,-353.914225
1820.000000,1.430767E-04,-356.414276
1830.000000,8.263370E-05,-358.114415
1840.000000,5.963970E-05,-359.757879
1850.000000,4.762628E-05,-1.387399
1860.000000,4.032191E-05,-3.013354
1870.000000,3.547477E-05,-4.639723
1880.000000,3.207760E-05,-6.268537
1890.000000,2.961939E-05,-7.901014
1900.000000,2.779195E-05,-9.538394
1910.000000,2.643253E-05,-11.181713
1920.000000,2.542355E-05,-12.830356
1930.000000,2.469181E-05,-14.487117
1940.000000,2.418596E-05,-16.152074
1950.000000,2.387133E-05,-17.826289
1960.000000,2.372407E-05,-19.510887
1970.000000,2.372818E-05,-21.207120
1980.000000,2.387357E-05,-22.916389
1990.000000,2.415486E-05,-24.640280
2000.000000,2.457060E-05,-26.380597


