#X,Acoustic Pressure across Frequency(5)_At Node 480,Acoustic Pressure across Frequency(5)_At Node 480
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
1620.000000,-85.549058,1.227490E-04
1630.000000,-96.159274,1.890527E-04
1640.000000,-121.423140,3.304565E-04
1650.000000,-179.695019,4.103817E-04
1660.000000,-218.794858,2.446752E-04
1670.000000,-234.057534,1.511372E-04
1680.000000,-242.528730,9.875611E-05
1690.000000,-249.358601,5.706265E-05
1700.000000,-257.943925,9.326857E-07
1710.000000,-105.128732,1.885757E-04
1720.000000,-215.766320,3.071496E-04
1730.000000,-238.486261,1.736916E-04
1740.000000,-245.302888,1.349883E-04
1750.000000,-249.225120,1.166750E-04
1760.000000,-252.112775,1.061362E-04
1770.000000,-254.513262,9.956928E-05
1780.000000,-256.651988,9.543411E-05
1790.000000,-258.643508,9.299789E-05
1800.000000,-260.556266,9.188488E-05
1810.000000,-262.437650,9.190710E-05
1820.000000,-264.325761,9.299405E-05
1830.000000,-266.256268,9.516538E-05
1840.000000,-268.267778,9.852774E-05
1850.000000,-270.407750,1.032922E-04
1860.000000,-272.741208,1.098192E-04
1870.000000,-275.366370,1.187134E-04
1880.000000,-278.447257,1.310297E-04
1890.000000,-282.292990,1.487686E-04
1900.000000,-287.593223,1.762832E-04
1910.000000,-296.363319,2.253850E-04
1920.000000,-318.480223,3.394127E-04
1930.000000,-39.103774,3.190078E-04
1940.000000,-270.386076,1.363981E-05
1950.000000,-290.592116,1.500598E-04
1960.000000,-313.061252,2.808768E-04
1970.000000,-349.020871,4.047347E-04
1980.000000,-28.501446,3.747049E-04
1990.000000,-52.431663,2.747970E-04
2000.000000,-65.332632,2.055332E-04


