#X,Acoustic Pressure across Frequency(1)_At Node 6529,Acoustic Pressure across Frequency(1)_At Node 6529
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-223.182783,0.000312
21.000000,-225.643890,0.000301
22.000000,-228.143655,0.000289
23.000000,-230.682126,0.000277
24.000000,-233.259005,0.000264
25.000000,-235.873575,0.000250
26.000000,-238.524700,0.000236
27.000000,-241.210819,0.000221
28.000000,-243.929923,0.000205
29.000000,-246.679599,0.000189
30.000000,-249.457073,0.000172
31.000000,-252.259314,0.000155
32.000000,-255.083230,0.000137
33.000000,-257.926079,0.000118
34.000000,-260.786401,0.000100
35.000000,-263.666582,0.000081
36.000000,-266.582163,0.000062
37.000000,-269.616183,0.000044
38.000000,-274.393668,0.000039
39.000000,-94.079035,0.000003
40.000000,-97.265407,0.000019
41.000000,-100.133725,0.000037
42.000000,-102.911184,0.000056
43.000000,-105.631042,0.000074
44.000000,-108.301014,0.000092
45.000000,-110.922467,0.000109
46.000000,-113.494811,0.000126
47.000000,-116.016883,0.000143
48.000000,-118.487467,0.000159
49.000000,-120.905530,0.000175
50.000000,-123.270305,0.000190
51.000000,-125.581317,0.000204
52.000000,-127.838404,0.000218
53.000000,-130.041672,0.000231
54.000000,-132.191490,0.000243
55.000000,-134.288472,0.000256
56.000000,-136.333425,0.000267
57.000000,-138.327313,0.000278
58.000000,-140.271264,0.000288
59.000000,-142.166498,0.000298
60.000000,-144.014335,0.000308


