#X,Acoustic Velocity across Frequency_At Node 6575,Acoustic Velocity across Frequency_At Node 6575
#Frequency(Hz),Angle(degrees)_Phase,Velocity(mm/sec)_Magnitude
20.000000,-43.529141,769.672612
21.000000,-46.037440,743.868752
22.000000,-48.588250,716.365418
23.000000,-51.181627,687.145441
24.000000,-53.817220,656.204444
25.000000,-56.494243,623.553604
26.000000,-59.211478,589.222069
27.000000,-61.967269,553.259560
28.000000,-64.759597,515.739503
29.000000,-67.586158,476.762127
30.000000,-70.444584,436.459137
31.000000,-73.332820,395.001055
32.000000,-76.249930,352.611850
33.000000,-79.197883,309.601733
34.000000,-82.186190,266.454287
35.000000,-85.246800,224.105550
36.000000,-88.500958,185.170062
37.000000,-92.762817,164.549330
38.000000,-262.476265,93.667972
39.000000,-276.604335,4.162215
40.000000,-278.544010,36.650062
41.000000,-281.398405,76.935468
42.000000,-284.212204,118.901949
43.000000,-286.966391,161.008322
44.000000,-289.662445,202.624333
45.000000,-292.301366,243.413364
46.000000,-294.883170,283.166028
47.000000,-297.407417,321.741757
48.000000,-299.873600,359.043830
49.000000,-302.281322,395.007318
50.000000,-304.630411,429.591708
51.000000,-306.920964,462.776038
52.000000,-309.153333,494.555718
53.000000,-311.328116,524.939166
54.000000,-313.446155,553.945774
55.000000,-315.508480,581.603492
56.000000,-317.516293,607.947159
57.000000,-319.470934,633.016975
58.000000,-321.373852,656.856890
59.000000,-323.226578,679.513695
60.000000,-325.030703,701.035625


