#X,Acoustic Pressure across Frequency(4)_At Node 589,Acoustic Pressure across Frequency(4)_At Node 589
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
1620.000000,-267.777608,1.502169E-04
1630.000000,-287.125980,2.462089E-04
1640.000000,-332.688913,3.755758E-04
1650.000000,-21.625426,2.853833E-04
1660.000000,-42.955700,1.890087E-04
1670.000000,-53.287701,1.423180E-04
1680.000000,-59.711672,1.199172E-04
1690.000000,-64.419827,1.142545E-04
1700.000000,-68.150102,1.590740E-04
1710.000000,-251.331183,6.777252E-05
1720.000000,-74.299101,1.943620E-05
1730.000000,-76.997835,3.001330E-05
1740.000000,-79.530302,3.249272E-05
1750.000000,-81.942733,3.282744E-05
1760.000000,-84.264770,3.244516E-05
1770.000000,-86.516825,3.182210E-05
1780.000000,-88.713556,3.114435E-05
1790.000000,-90.865843,3.049035E-05
1800.000000,-92.981988,2.989354E-05
1810.000000,-95.068492,2.936724E-05
1820.000000,-97.130568,2.891543E-05
1830.000000,-99.172490,2.853776E-05
1840.000000,-101.197840,2.823200E-05
1850.000000,-103.209681,2.799529E-05
1860.000000,-105.210700,2.782471E-05
1870.000000,-107.203314,2.771768E-05
1880.000000,-109.189846,2.767209E-05
1890.000000,-111.173084,2.768651E-05
1900.000000,-113.168789,2.776174E-05
1910.000000,-115.117659,2.790144E-05
1920.000000,-117.101421,2.810204E-05
1930.000000,-119.087479,2.839770E-05
1940.000000,-121.113579,2.909802E-05
1950.000000,-123.023191,2.940638E-05
1960.000000,-125.019270,2.911708E-05
1970.000000,-127.022652,2.964388E-05
1980.000000,-129.031316,3.019276E-05
1990.000000,-131.048269,3.079394E-05
2000.000000,-133.075185,3.145743E-05


