#X,Acoustic Pressure across Frequency(3)_At Node 1422,Acoustic Pressure across Frequency(3)_At Node 1422
#Frequency(Hz),Angle(degrees)_Phase,Pressure(N/mm^2(MPa))_Magnitude
20.000000,-248.227312,1.626903E-04
30.000000,-258.497560,1.154996E-04
40.000000,-265.057279,8.921638E-05
50.000000,-269.952779,7.284995E-05
60.000000,-273.970016,6.182918E-05
70.000000,-277.468624,5.399370E-05
80.000000,-280.635421,4.820639E-05
90.000000,-283.577046,4.381705E-05
100.000000,-286.358942,4.042961E-05
110.000000,-289.023664,3.779098E-05
120.000000,-291.600216,3.573371E-05
130.000000,-294.109194,3.414458E-05
140.000000,-296.565784,3.294651E-05
150.000000,-298.981596,3.208791E-05
160.000000,-301.365843,3.153644E-05
170.000000,-303.726184,3.127541E-05
180.000000,-306.069275,3.130238E-05
190.000000,-308.401285,3.162937E-05
200.000000,-310.728333,3.228497E-05
210.000000,-313.056983,3.331899E-05
220.000000,-315.394891,3.481092E-05
230.000000,-317.751780,3.688502E-05
240.000000,-320.141101,3.973808E-05
250.000000,-322.583117,4.369282E-05
260.000000,-325.111229,4.930906E-05
270.000000,-327.786536,5.764042E-05
280.000000,-330.736671,7.091899E-05
290.000000,-334.284297,9.481527E-05
300.000000,-339.556308,1.490588E-04
310.000000,-354.888188,3.739806E-04
320.000000,-128.550514,4.616189E-04
330.000000,-149.245834,1.499539E-04
340.000000,-155.025372,8.674922E-05
350.000000,-158.720294,6.023567E-05
360.000000,-161.736489,4.577169E-05
370.000000,-164.449766,3.672775E-05
380.000000,-167.002964,3.058124E-05
390.000000,-169.462221,2.616483E-05
400.000000,-171.862341,2.286516E-05
410.000000,-174.223340,2.032988E-05
420.000000,-176.557497,1.834300E-05
430.000000,-178.872707,1.676557E-05
440.000000,-181.174220,1.550518E-05
450.000000,-183.465608,1.449917E-05
460.000000,-185.749328,1.370509E-05
470.000000,-188.027071,1.309525E-05
480.000000,-190.299989,1.265384E-05
490.000000,-192.568846,1.237595E-05
500.000000,-194.834113,1.226856E-05
510.000000,-197.096055,1.235408E-05
520.000000,-199.354787,1.267853E-05
530.000000,-201.610314,1.332943E-05
540.000000,-203.862593,1.447738E-05
550.000000,-206.111601,1.648614E-05
560.000000,-208.357505,2.026801E-05
570.000000,-210.601366,2.889618E-05
580.000000,-212.851738,6.307819E-05
590.000000,-35.000516,1.308031E-04
600.000000,-37.270958,2.720533E-05
610.000000,-39.497999,1.378659E-05
620.000000,-41.716304,8.601817E-06
630.000000,-43.928176,5.900070E-06
640.000000,-46.134108,4.270093E-06
650.000000,-48.334272,3.197076E-06
660.000000,-50.528747,2.448734E-06
670.000000,-52.717636,1.905081E-06
680.000000,-54.901062,1.498026E-06
690.000000,-57.079186,1.186144E-06
700.000000,-59.252215,9.428584E-07
710.000000,-61.420409,7.503798E-07
720.000000,-63.584069,5.963912E-07
730.000000,-65.743542,4.721208E-07
740.000000,-67.899211,3.711751E-07
750.000000,-70.051508,2.888023E-07
760.000000,-72.200892,2.214127E-07
770.000000,-74.347862,1.662579E-07
780.000000,-76.492940,1.212106E-07
790.000000,-78.636677,8.461108E-08
800.000000,-80.779642,5.515750E-08
810.000000,-82.922423,3.182781E-08
820.000000,-85.065616,1.382292E-08
830.000000,-87.209757,5.261265E-10
840.000000,-269.355700,8.525227E-09
850.000000,-271.503813,1.365786E-08
860.000000,-273.654806,1.507122E-08
870.000000,-275.809301,1.283574E-08
880.000000,-277.967917,6.877197E-09
890.000000,-100.131374,3.061539E-09
900.000000,-102.300144,1.750249E-08
910.000000,-104.475059,3.741351E-08
920.000000,-106.656896,6.465518E-08
930.000000,-108.846706,1.033173E-07
940.000000,-111.046452,1.651915E-07
950.000000,-113.263857,3.122559E-07
960.000000,-295.238393,1.773328E-06
970.000000,-117.659262,1.761997E-08
980.000000,-119.906276,1.673390E-07
990.000000,-122.167394,3.702598E-07
1000.000000,-124.434186,4.035946E-07
1010.000000,-126.730753,5.711737E-07
1020.000000,-129.062901,8.077882E-07
1030.000000,-131.455242,1.179179E-06
1040.000000,-133.971824,1.853828E-06
1050.000000,-136.852438,3.462478E-06
1060.000000,-142.460811,1.221626E-05
1070.000000,-315.972169,1.087639E-05
1080.000000,-320.809865,4.202129E-06
1090.000000,-323.667475,2.763399E-06
1100.000000,-326.227298,2.140709E-06
1110.000000,-328.694501,1.797116E-06
1120.000000,-331.127552,1.582646E-06
1130.000000,-333.550486,1.439034E-06
1140.000000,-335.976090,1.339046E-06
1150.000000,-338.412915,1.268378E-06
1160.000000,-340.868045,1.218942E-06
1170.000000,-343.348470,1.185989E-06
1180.000000,-345.862014,1.166750E-06
1190.000000,-348.418148,1.159760E-06
1200.000000,-351.028992,1.164538E-06
1210.000000,-353.710635,1.181466E-06
1220.000000,-356.485154,1.211841E-06
1230.000000,-359.383823,1.258087E-06
1240.000000,-2.452529,1.324218E-06
1250.000000,-5.761403,1.416714E-06
1260.000000,-9.423076,1.546197E-06
1270.000000,-13.629926,1.730795E-06
1280.000000,-18.737417,2.003329E-06
1290.000000,-25.472804,2.427790E-06
1300.000000,-35.530557,3.137529E-06
1310.000000,-53.410141,4.381018E-06
1320.000000,-88.959137,5.877233E-06
1330.000000,-133.603009,5.002251E-06
1340.000000,-159.488600,3.290605E-06
1350.000000,-172.789528,2.283617E-06
1360.000000,-180.942512,1.712084E-06
1370.000000,-186.755800,1.361167E-06
1380.000000,-191.347390,1.130824E-06
1390.000000,-195.229286,9.724698E-07
1400.000000,-198.665082,8.604454E-07
1410.000000,-201.803334,7.801572E-07
1420.000000,-204.733885,7.228047E-07
1430.000000,-207.514200,6.828423E-07
1440.000000,-210.182739,6.566681E-07
1450.000000,-212.766240,6.419069E-07
1460.000000,-215.283887,6.369981E-07
1470.000000,-217.749800,6.409525E-07
1480.000000,-220.174640,6.532047E-07
1490.000000,-222.566598,6.735261E-07
1500.000000,-224.932090,7.019754E-07
1510.000000,-227.276196,7.388796E-07
1520.000000,-229.603013,7.848353E-07
1530.000000,-231.915859,8.407352E-07
1540.000000,-234.217483,9.078183E-07
1550.000000,-236.510157,9.877552E-07
1560.000000,-238.795794,1.082785E-06
1570.000000,-241.076057,1.195938E-06
1580.000000,-243.352440,1.331421E-06
1590.000000,-245.626388,1.495331E-06
1600.000000,-247.899544,1.697173E-06
1610.000000,-250.174252,1.953682E-06
1620.000000,-252.455335,2.301533E-06
1630.000000,-254.758798,2.856344E-06
1640.000000,-257.233359,4.675529E-06
1650.000000,-258.931728,1.083956E-06
1660.000000,-261.373892,2.777859E-06
1670.000000,-263.705288,3.449772E-06
1680.000000,-265.485106,9.008488E-06
1690.000000,-268.170723,7.157162E-06
1700.000000,-270.471646,9.271582E-06
1710.000000,-272.761994,1.099392E-05
1720.000000,-275.071222,1.879550E-05
1730.000000,-277.401974,3.289315E-05
1740.000000,-279.803453,8.201669E-05
1750.000000,-101.207564,9.778948E-04
1760.000000,-104.729945,1.242414E-04
1770.000000,-109.155852,1.622909E-04
1780.000000,-284.946751,8.616056E-05
1790.000000,-289.361483,1.473283E-05
1800.000000,-292.040615,3.340277E-06
1810.000000,-114.471470,5.208176E-07
1820.000000,-116.819853,2.225750E-06
1830.000000,-119.131391,3.098437E-06
1840.000000,-121.424014,3.594272E-06
1850.000000,-123.706431,3.902396E-06
1860.000000,-125.983580,4.111745E-06
1870.000000,-128.258655,4.268048E-06
1880.000000,-130.533949,4.396509E-06
1890.000000,-132.811276,4.511846E-06
1900.000000,-135.092210,4.623124E-06
1910.000000,-137.378168,4.736236E-06
1920.000000,-139.670508,4.855247E-06
