#X,Acoustic Pressure across Frequency_At Node 2636,Acoustic Pressure across Frequency_At Node 2636
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
1900.000000,0.005288,-206.512911
1910.000000,0.003283,-237.255251
1920.000000,0.002479,-246.215289
1930.000000,0.001762,-252.525418
1940.000000,0.001331,-255.731103
1950.000000,0.001147,-257.187957
1960.000000,0.000917,-258.281774
1970.000000,0.000747,-258.721360
1980.000000,0.000659,-258.925835
1990.000000,0.000534,-258.460821
2000.000000,0.000472,-258.099108


