#X,Acoustic Pressure across Frequency(3)_At Node 2639,Acoustic Pressure across Frequency(3)_At Node 2639
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
1900.000000,0.000009,-103.296590
1910.000000,0.000013,-100.994998
1920.000000,0.000021,-99.139773
1930.000000,0.000031,-98.165075
1940.000000,0.000045,-97.654606
1950.000000,0.000064,-97.505952
1960.000000,0.000083,-97.516126
1970.000000,0.000122,-97.731240
1980.000000,0.000185,-98.282183
1990.000000,0.000259,-98.885921
2000.000000,0.000436,-100.411029


